"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"","","","","#REF!","₳1.00000","#REF!","#REF!","#REF!"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
"","","","","","","#REF!","#REF!","Approval Threshold"
