"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"MLabs: Tooling upgrade for Conway compatibility.","447","₳543,342,721","₳38,669,193","YES","₳197,850","FUNDED","₳7,802,150",""
"Lucid Evolution 2.0 - Maintenance & Development Strategy","400","₳454,239,493","₳32,478,598","YES","₳200,000","FUNDED","₳7,602,150",""
"Sundae Labs: Amaru Node Development Support - Rust Developer Contract","544","₳426,052,786","₳52,111,807","YES","₳200,000","FUNDED","₳7,402,150",""
"Mesh: Hydra Tools for administrating & interacting with Hydra Heads","484","₳397,724,327","₳40,848,436","YES","₳200,000","FUNDED","₳7,202,150",""
"Oura by TxPipe: going multi-chain","482","₳390,224,749","₳20,437,773","YES","₳198,571","FUNDED","₳7,003,579",""
"PoolTool Sustaining","417","₳380,832,542","₳14,687,782","YES","₳60,000","FUNDED","₳6,943,579",""
"MLabs: Static analysis with Covenant","361","₳377,174,748","₳33,700,349","YES","₳199,727","FUNDED","₳6,743,852",""
"HLabs: unembed plu-ts - the next aiken","463","₳366,563,725","₳57,526,075","YES","₳200,000","FUNDED","₳6,543,852",""
"Open-Source Rapid DEX: Batcher-less, instant, with transaction chaining","273","₳350,365,149","₳24,982,157","YES","₳200,000","FUNDED","₳6,343,852",""
"Optim OADA OPEN: Local, Open Source OADA Frontend for Developers","344","₳338,475,726","₳34,846,991","YES","₳200,000","FUNDED","₳6,143,852",""
"Indigo Protocol: Typescript Off-chain SDK","372","₳336,151,941","₳37,308,062","YES","₳200,000","FUNDED","₳5,943,852",""
"Maintain Mesh and Build Developer Community","316","₳334,937,604","₳35,740,609","YES","₳200,000","FUNDED","₳5,743,852",""
"Lucid Evolution 2.0 - Blueprint & Enhanced Plutus Schema","350","₳315,390,591","₳27,397,069","YES","₳200,000","FUNDED","₳5,543,852",""
"Open-Source Smart Contract Library for Midnight: Catalyzing Midnight's Developer Ecosystem with Ready-to-Use Smart Contracts","605","₳314,843,100","₳14,791,930","YES","₳200,000","FUNDED","₳5,343,852",""
"Andamio SDK & UTxO-RPC client","307","₳302,209,857","₳46,545,627","YES","₳105,000","FUNDED","₳5,238,852",""
"Designing an API for ZK-Snark proof verification in Aiken - Eryx","315","₳300,928,511","₳38,411,825","YES","₳200,000","FUNDED","₳5,038,852",""
"Breeze - Trading Bot Framework","240","₳298,093,996","₳53,906,328","YES","₳174,000","FUNDED","₳4,864,852",""
"EUTxO-L2 interoperability: Connect Hydra and other L2s","471","₳288,711,381","₳34,174,726","YES","₳195,000","FUNDED","₳4,669,852",""
"Zero-Knowledge Privacy Protocol for DeFi Lending and Borrowing on Cardano (open source)","286","₳277,787,898","₳22,683,117","YES","₳185,000","FUNDED","₳4,484,852",""
"Mesh: Cquisitor - Transaction Investigation Tool","316","₳277,289,416","₳31,878,396","YES","₳200,000","FUNDED","₳4,284,852",""
"Next-Gen DAOs: On-Chain Delegation, Hierarchies & Reputation","331","₳274,709,016","₳14,567,106","YES","₳135,000","FUNDED","₳4,149,852",""
