"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"Community-Led Cardano Summits in Japan","540","₳279,399,691","₳55,486,118","YES","₳198,000","FUNDED","₳10,302,000",""
"Promotion of Japanese Cardano Products","577","₳251,700,124","₳81,273,905","YES","₳200,000","FUNDED","₳10,102,000",""
"Policy advocacy for the DAO ecosystem to the government","417","₳196,939,033","₳23,158,952","YES","₳200,000","FUNDED","₳9,902,000",""
"Polkadot-Cardano uniFires","430","₳192,011,098","₳24,427,281","YES","₳140,000","FUNDED","₳9,762,000",""
"Kaizen Crypto | Cardano Dubai Hub - Ecosystem Onboarding and Education","404","₳153,319,353","₳31,744,068","YES","₳200,000","FUNDED","₳9,562,000",""
"Continue SCATDAO Work in Education, Scam Monitoring, and DYOR Reports","373","₳150,690,187","₳21,117,050","YES","₳149,333","FUNDED","₳9,412,667",""
"SHIBUYA FES (428FES) Cardano Conference & CNFT Art Exhibition","314","₳145,018,876","₳22,101,835","YES","₳73,730","FUNDED","₳9,338,937",""
"Cardano Onboarding Campaign at larger crypto events, and multiples local education events.","369","₳137,060,471","₳19,514,134","YES","₳200,000","FUNDED","₳9,138,937",""
"Paris Blockchain Week Cardano Event with Media & Marketing - Powered by Rare Network / Rare Evo","321","₳134,454,115","₳17,166,812","YES","₳200,000","FUNDED","₳8,938,937",""
"Japanese Traditional Craft ""Masu"" Photo Project: Cardano Community Expands through Art","385","₳124,004,322","₳74,326,463","YES","₳200,000","FUNDED","₳8,738,937",""
"The DAO of Cardano: a practical guide","232","₳113,807,374","₳12,191,803","YES","₳148,150","FUNDED","₳8,590,787",""
"Cardano Information Center in Japan with a restaurant.","395","₳111,580,967","₳97,085,740","YES","₳200,000","FUNDED","₳8,390,787",""
"High Quality Japanese Translations for Popular Cardano DApps","397","₳110,393,232","₳26,915,645","YES","₳130,000","FUNDED","₳8,260,787",""
"Token2049 Dubai 2024 Cardano Event with Media & Marketing - Powered by Rare Network / Rare Evo","296","₳106,736,324","₳22,428,968","YES","₳120,000","FUNDED","₳8,140,787",""
"Innovation center to promote Cardano and facilitate entrepreneur participation","206","₳104,049,423","₳13,715,242","YES","₳135,000","FUNDED","₳8,005,787",""
"Entrepreneurship Series for the Cardano Community","250","₳100,936,921","₳18,053,918","YES","₳156,700","FUNDED","₳7,849,087",""
"CardanoCodex - On-boarding the next wave of Developers with this innovative Hackathon event - Pan India","349","₳100,224,408","₳10,477,668","YES","₳149,167","FUNDED","₳7,699,920",""
"Grass Roots: Positioning Cardano as the Swiss L1 of Choice","206","₳100,061,035","₳12,405,165","YES","₳168,935","FUNDED","₳7,530,985",""
"No-time-for-bootcamp: training for busy entrepreneurs","204","₳94,839,406","₳15,278,630","YES","₳135,050","FUNDED","₳7,395,935",""
"Cardano for 100,000+ students","356","₳91,226,964","₳14,354,317","YES","₳75,000","FUNDED","₳7,320,935",""
"So, you didn't get funded. Now What?","209","₳90,078,547","₳13,970,295","YES","₳93,000","FUNDED","₳7,227,935",""
"Gimbalabs: Engaging Developers, Companies, and Users 365 Days/Year","444","₳88,392,279","₳15,057,310","YES","₳178,027","FUNDED","₳7,049,908",""
"Cardanoscan data info bubbles","372","₳88,015,093","₳16,212,442","YES","₳35,000","FUNDED","₳7,014,908",""
"Kaizen Crypto | Cardano 101 Course Video Lessons Translated To Popular Languages","319","₳86,570,927","₳35,318,874","YES","₳150,000","FUNDED","₳6,864,908",""
"Live-Coding Haskell (Cardano's Smart Contract Programming Language)- Bring Thousand of Developers to Cardano Ecosystem with 30 Live-Coding Sessions","308","₳86,081,673","₳4,725,383","YES","₳60,000","FUNDED","₳6,804,908",""
"Hydra Course for Non-Native English Community Developers","350","₳83,955,568","₳5,561,940","YES","₳29,900","FUNDED","₳6,775,008",""
"European Cardano Community Town Hall - Operation and Country Hubs","327","₳82,781,222","₳6,667,964","YES","₳77,300","FUNDED","₳6,697,708",""
"Cardano Asia TikTok Channel (Maintain Japan, Vietnam, New English version) [TIKTOK_CA]","307","₳81,211,013","₳12,633,990","YES","₳79,757","FUNDED","₳6,617,951",""
"Cardano Hackathon in Berlin organized by NMKR","477","₳80,045,409","₳20,241,951","YES","₳200,000","FUNDED","₳6,417,951",""
"Gimbalabs Research: ""Contribution Treasury System"" Model","367","₳79,678,309","₳17,735,570","YES","₳158,826","FUNDED","₳6,259,125",""
"Frankenwallet: DIY boot drive for privacy, security & SPO","292","₳75,847,123","₳22,713,401","YES","₳148,950","FUNDED","₳6,110,175",""
"Beginner to Advance Plutus Mastery in collab with Gadjah Mada University (UGM) utilizing Gimbalabs PPBL, MeshJS and Aiken","310","₳73,863,331","₳9,441,779","YES","₳79,740","FUNDED","₳6,030,435",""
"Djed Alliance Ecosystem Boost","307","₳71,024,704","₳14,943,463","YES","₳199,000","FUNDED","₳5,831,435",""
"Cardano Hackathon in Argentina","331","₳68,187,054","₳8,544,323","YES","₳100,000","FUNDED","₳5,731,435",""
"AdaPulse: Independent Media Outlet","295","₳67,612,631","₳13,490,729","YES","₳183,115","FUNDED","₳5,548,320",""
"[FIMI] Plutus Pioneer #4 - Translating video dubbing in Vietnamese","346","₳66,827,913","₳17,608,194","YES","₳20,628","FUNDED","₳5,527,692",""
"Cardano Summit 2025. Welcome to Africa :)","319","₳66,336,460","₳16,143,518","YES","₳156,250","FUNDED","₳5,371,442",""
"Plutus Smart Contracts online course for non-native English developers","295","₳66,091,283","₳7,625,483","YES","₳32,000","FUNDED","₳5,339,442",""
"Cardano India Developers Community Hub","298","₳64,769,730","₳11,859,813","YES","₳97,900","FUNDED","₳5,241,542",""
"Playbook for Creation of SEC Exempt DAOs on Cardano","299","₳64,231,273","₳17,413,805","YES","₳81,990","FUNDED","₳5,159,552",""
"Cardano For the M₳sses: Age of Voltaire Edition.","298","₳62,235,662","₳7,236,533","YES","₳19,461","FUNDED","₳5,140,091",""
"Expanding Cardano's Reach: Equipping the Community for Cross-Chain & Mainstream User Onboarding via Proof Of Onboarding (P.O.O.)","406","₳62,114,698","₳19,557,790","YES","₳125,000","FUNDED","₳5,015,091",""
"[C2VN] Accelerate Atala PRISM learning and adoption in Universities","336","₳61,915,531","₳14,284,202","YES","₳148,225","FUNDED","₳4,866,866",""
"Latam Cardano Community Operations","352","₳60,412,718","₳12,126,767","YES","₳93,105","FUNDED","₳4,773,761",""
"Bringing East Asian Investors to Cardano","316","₳59,558,171","₳12,437,335","YES","₳45,127","FUNDED","₳4,728,634",""
"LATAM: The Land of the Builders","316","₳58,707,940","₳7,225,562","YES","₳89,700","FUNDED","₳4,638,934",""
"SIDAN | Waffle - Hong Kong Cardano Community","284","₳58,320,483","₳17,674,023","YES","₳200,000","FUNDED","₳4,438,934",""
"UTXO Alliance Content Manager","293","₳57,630,498","₳16,268,751","YES","₳71,425","FUNDED","₳4,367,509",""
"Let's Exhibit Cardano at the Largest Blockchain Expos Trade Shows in LATAM (BR)","326","₳57,169,926","₳14,218,844","YES","₳198,789","FUNDED","₳4,168,720",""
"[FIMI] Free Marlowe Course for Vietnamese","414","₳56,891,877","₳10,250,578","YES","₳25,000","FUNDED","₳4,143,720",""
"45B - Marlowe workshops for Business professionals","294","₳56,703,687","₳19,790,483","YES","₳49,500","FUNDED","₳4,094,220",""
"Cardano Dev Online Business Accelerator - The Scale Up!","278","₳56,577,612","₳11,949,494","YES","₳148,250","FUNDED","₳3,945,970",""
"Cardano Ecosystem : Smart Contract Languages LIve Support(Oxygen), Documentation and Adoption","247","₳56,483,256","₳7,340,964","YES","₳96,900","FUNDED","₳3,849,070",""
"Community Stage & Live Stream at Rare Evo 24 Caesars Palace - Powered by Rare Network / Rare Evo","280","₳56,345,415","₳23,823,659","YES","₳200,000","FUNDED","₳3,649,070",""
"WingRiders: Guide to Getting Your Project Recognized in the Tier1 Crypto World","391","₳56,016,741","₳17,522,968","YES","₳185,000","FUNDED","₳3,464,070",""
"Cardano Middle East & North Africa","275","₳55,505,213","₳8,243,792","YES","₳15,000","FUNDED","₳3,449,070",""
"Community Platform to teach, test & certify Aiken, Plutus, Opshin & offchain languages for Cardano","240","₳54,694,258","₳13,594,429","YES","₳100,000","FUNDED","₳3,349,070",""
"[FIMI] cardano.vn - Cardano information portal for Vietnamese people","384","₳54,016,706","₳13,467,932","YES","₳17,550","FUNDED","₳3,331,520",""
"Token Engineering on Cardano: Step-by-step tutorials to design economic mechanisms","232","₳53,700,573","₳9,335,653","YES","₳97,393","FUNDED","₳3,234,127",""
"dRep TV Hub - Connect 100 dReps with thousands of Voters (Japanese, Vietnamese, English) [TIKTOK\_CA]","230","₳52,330,000","₳10,034,386","YES","₳98,261","FUNDED","₳3,135,866",""
"dReps Onboarding: Empowering Cardano Ghana Community","292","₳51,879,654","₳11,125,634","YES","₳35,000","FUNDED","₳3,100,866",""
"IOG Reasearch Paper Library for the Cardano Vietnam community","342","₳51,752,221","₳12,386,795","YES","₳15,564","FUNDED","₳3,085,302",""
"🇻🇳 The Complete Aiken Course Cardano: From Zero to Expert!","270","₳50,361,335","₳9,105,339","YES","₳20,000","FUNDED","₳3,065,302",""
"Chinese-speaking community - Dumpling","287","₳50,278,708","₳14,709,161","YES","₳29,600","FUNDED","₳3,035,702",""
"""Together Learning Haskell/Plutus in native language"" Club","337","₳49,831,351","₳7,516,521","YES","₳33,000","FUNDED","₳3,002,702",""
"Onboarding 316 Million Gamers to Cardano","279","₳49,662,284","₳27,702,644","YES","₳164,500","FUNDED","₳2,838,202",""
"Argentina: An Unprecedented Opportunity for Government Adoption","366","₳48,658,278","₳13,461,180","YES","₳171,025","FUNDED","₳2,667,177",""
