"Proposal","Overall score","Votes cast","YES","NO","Result","Meets approval threshold","REQUESTED $","STATUS","FUND DEPLETION","Reason for not funded status"
"NuNet: Decentralized SPO Computing","4.92","1123","₳199,732,782","₳1,123,600","₳198,609,182","YES","$120,000","FUNDED","$380,000",""
"Sustainable AI anti-fakenews system","4.39","433","₳98,489,203","₳5,323,561","₳93,165,642","YES","$110,000","FUNDED","$270,000",""
"Identify patterns on Transaction","4.29","255","₳84,237,620","₳3,344,431","₳80,893,189","YES","$30,000","FUNDED","$240,000",""
"An AI Domain Specific Language","4.50","461","₳86,878,767","₳7,217,173","₳79,661,594","YES","$79,950","FUNDED","$160,050",""
"Pathform: Custom growth paths","4.75","472","₳87,803,911","₳9,386,715","₳78,417,196","YES","$89,925","FUNDED","$70,125",""
"DeepchainAda: Trustless AI training","4.33","329","₳76,078,901","₳1,279,002","₳74,799,899","YES","$20,000","FUNDED","$50,125",""
"NFT Picture Profile AI generator","4.17","211","₳69,648,255","₳6,506,662","₳63,141,593","YES","$22,500","FUNDED","$27,625",""
"Decentralized Physics Simulations","4.17","262","₳65,857,502","₳2,823,207","₳63,034,295","YES","$35,000","NOT FUNDED","$27,625","Over Budget"
"Forecasting Cardano Native Tokens","3.67","139","₳53,579,626","₳4,073,544","₳49,506,082","YES","$9,900","FUNDED","$17,725",""
"Gaming & Artificial Brains","3.75","163","₳52,637,973","₳4,379,475","₳48,258,498","YES","$24,000","NOT FUNDED","$17,725","Over Budget"
"AI Oracles in the African Market","3.61","189","₳55,235,032","₳7,926,893","₳47,308,139","YES","$100,000","NOT FUNDED","$17,725","Over Budget"
"AI Stablecoin & Oracle Hackathon","3.58","254","₳55,876,078","₳9,988,182","₳45,887,896","YES","$75,000","NOT FUNDED","$17,725","Over Budget"
"MUSEVERSE: AI bridge to Metaverse","3.89","196","₳50,554,176","₳6,596,766","₳43,957,410","YES","$50,000","NOT FUNDED","$17,725","Over Budget"
"IlluminatAI SWARM","3.76","158","₳48,943,736","₳5,936,273","₳43,007,463","YES","$35,000","NOT FUNDED","$17,725","Over Budget"
"Semi-public collaboration platform","4.11","162","₳47,575,893","₳9,091,065","₳38,484,828","YES","$75,000","NOT FUNDED","$17,725","Over Budget"
"Hypotheses for AI/Singularity Net","3.60","139","₳46,175,482","₳9,226,726","₳36,948,756","YES","$26,800","NOT FUNDED","$17,725","Over Budget"
"SingularityNet Asset Tracker","3.56","152","₳44,557,075","₳9,460,650","₳35,096,425","YES","$66,000","NOT FUNDED","$17,725","Over Budget"
"The untapped potential of eco-data","3.72","145","₳42,227,849","₳8,812,475","₳33,415,374","YES","$59,265","NOT FUNDED","$17,725","Over Budget"
"AI/ML Dataset Extraction Service","4.08","148","₳40,010,464","₳7,259,777","₳32,750,687","YES","$30,000","NOT FUNDED","$17,725","Over Budget"
"NFTs to own one's own data and IP","3.50","128","₳42,351,022","₳10,081,687","₳32,269,335","YES","$39,000","NOT FUNDED","$17,725","Over Budget"
"AI Resolution of Smart Contracts","3.42","119","₳38,366,255","₳10,280,562","₳28,085,693","YES","$16,000","FUNDED","$1,725",""
"Community Consultancy: AI & Data","3.67","127","₳35,195,495","₳8,344,534","₳26,850,961","YES","$3,840","NOT FUNDED","$1,725","Over Budget"
"NLP Applied to Conflict Resolution","3.89","133","₳39,344,977","₳14,035,325","₳25,309,652","YES","$24,000","NOT FUNDED","$1,725","Over Budget"
"Ethical AI for Singularity/Cardano","3.39","131","₳28,699,215","₳10,384,824","₳18,314,391","YES","$31,300","NOT FUNDED","$1,725","Over Budget"
"Cardano Analytics Data Hub","3.25","108","₳29,137,245","₳12,857,274","₳16,279,971","YES","$60,000","NOT FUNDED","$1,725","Over Budget"
"Simply AI with Trust","2.53","125","₳25,566,582","₳16,904,188","₳8,662,394","YES","$480,000","NOT FUNDED","$1,725","Over Budget"
"Tutorials and Hackathon","2.67","114","₳23,868,751","₳15,262,648","₳8,606,103","YES","$88,200","NOT FUNDED","$1,725","Over Budget"
"Anti-Polarization Social Platform","3.38","121","₳18,976,382","₳13,222,330","₳5,754,052","NO","$49,000","NOT FUNDED","$1,725","Approval Threshold"
"AI in Trading and analyzing data.","2.27","108","₳17,862,544","₳12,347,109","₳5,515,435","NO","$10,000","NOT FUNDED","$1,725","Approval Threshold"
"Evidence-Based Knowledge Aggregator","1.93","109","₳16,994,149","₳13,781,531","₳3,212,618","NO","$500","NOT FUNDED","$1,725","Approval Threshold"
"SOIL: Semantic E-Commerce","1.53","110","₳16,268,394","₳13,899,797","₳2,368,597","NO","$42","NOT FUNDED","$1,725","Approval Threshold"
"WEB3 - Image annotation phone-app","2.80","124","₳16,610,940","₳14,599,297","₳2,011,643","NO","$120,000","NOT FUNDED","$1,725","Approval Threshold"
"End world Hunger in a Day","1.73","129","₳17,835,341","₳16,390,416","₳1,444,925","NO","$50,000","NOT FUNDED","$1,725","Approval Threshold"
"Speech to sign language AI avatar","1.50","117","₳15,238,996","₳14,827,115","₳411,881","NO","$1,000","NOT FUNDED","$1,725","Approval Threshold"
"BioCrypTricks (A Human 2.0 Project)","3.27","118","₳17,192,845","₳17,475,802","-₳282,957","NO","$100,000","NOT FUNDED","$1,725","Approval Threshold"
"Surface Abstraction Encoding","1.38","121","₳16,855,113","₳17,255,392","-₳400,279","NO","$65,000","NOT FUNDED","$1,725","Approval Threshold"
"市值拉升","1.00","115","₳14,912,287","₳15,992,916","-₳1,080,629","NO","$500","NOT FUNDED","$1,725","Approval Threshold"
"Platform for philosophers AIs","1.44","131","₳14,950,542","₳18,747,883","-₳3,797,341","NO","$100,000","NOT FUNDED","$1,725","Approval Threshold"
